slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ess_charge_kw,p1_ess_discharge_kw,bl_ess_charge_kw,bl_ess_discharge_kw
392,2025-07-18 01:45:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
393,2025-07-18 02:00:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
394,2025-07-18 02:15:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
395,2025-07-18 02:30:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
396,2025-07-18 02:45:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
397,2025-07-18 03:00:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
398,2025-07-18 03:15:00,2025-07-18,0.42,0.0,0.0,0.0,0.0
399,2025-07-18 03:30:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
400,2025-07-18 03:45:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
401,2025-07-18 04:00:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
402,2025-07-18 04:15:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
403,2025-07-18 04:30:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
404,2025-07-18 04:45:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
405,2025-07-18 05:00:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
406,2025-07-18 05:15:00,2025-07-18,0.42,142.10526,0.0,0.0,0.0
407,2025-07-18 05:30:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
408,2025-07-18 05:45:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
409,2025-07-18 06:00:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
410,2025-07-18 06:15:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
411,2025-07-18 06:30:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
412,2025-07-18 06:45:00,2025-07-18,0.42,300.0,0.0,0.0,0.0
413,2025-07-18 07:00:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
414,2025-07-18 07:15:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
415,2025-07-18 07:30:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
416,2025-07-18 07:45:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
417,2025-07-18 08:00:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
418,2025-07-18 08:15:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
419,2025-07-18 08:30:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
420,2025-07-18 08:45:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
421,2025-07-18 09:00:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
422,2025-07-18 09:15:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
423,2025-07-18 09:30:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
424,2025-07-18 09:45:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
425,2025-07-18 10:00:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
426,2025-07-18 10:15:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
427,2025-07-18 10:30:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
428,2025-07-18 10:45:00,2025-07-18,0.75,0.0,0.0,0.0,0.0
429,2025-07-18 11:00:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
430,2025-07-18 11:15:00,2025-07-18,0.68,0.0,0.0,0.0,0.0
